Request ID,Host,Endpoint,Parameter,Value,Source
REQ-0001,googleads.g.doubleclick.net,/pagead/interaction/,ai,CXYIfTyaMau7qHsHSmsMP7LOcwQPA14-NiQHCoYmO3xXAjbcBEAEgjsOUHmDlwuSDpA6gAZiUmfMqqQLW9jO3DHBGPqgDAcgDCKoE7gFP0KPtetM2aZ_S_mjParrvp_E3GlvYIsiNqX9NQyjGc4QjgpX6ucuR99WZBOD04ZEjPFZwuYhB5Rv_6OAvBocr9x3TJNoKU2tCbcm9tlqmsRrkZgAxUmb8bMPSTVxwyJOicenUSWcfTrHl0s0g0x2E5OJGBUtg_3n4BOPTKu7Wf2UO0izqyadfQAF4OknyB8CXfTyNceTz8g1AV4FD0iEtxi1hZ-c2oKyj5CIKgrYJw3lhk9brxL89ytfURmrGuiBTsKQ9sh-xf8Auw9a-ZmcYDPG38hO65T8NAT0I_UjKWUG332dkPi-pfdeyU4qAwATL1oqv1gWIBZ2g4LxYwAVxkAYBoAYcsAYBgAeYzOnSBYgHAZAHApgHAagH_56xAqgHzZuxAqgHmZ2xAqgHpr4bqAfVyRuoB6EBqAetyhuoB67NG6gH_p6xAqgH89EbqAeexLECqAfd3LECqAeW2BuoB_7osQKoB6qbsQKoB9-fsQKoB47cG6gH9rixAqgH5tSxAqgHg9uxAqgHpuuxArgH0_G5lraswNZFwAf01APYBwH6Bxtpbi5zd2lnZ3kuYW5kcm9pZC5pbnN0YW1hcnSYCAGgCJaKqQSoCAGwCAK4CAHSCDYIABACGA0yCICAgICAgIAIOhSf0ICAgIAEgMCAgICgqIACqIGAEEi9_cE6WJWkxpyQuZYDYAGxCQzHGrzmkgoxgAoDkAsFyAsBmAz62bKS4wWiDBRZAAAAAABAZz-aAQhwaXhlbCA2YfoMAggCqg0CSU7qDRMIrdTJnJC5lgMVQalmAh3sGSc4uBOxA4IUIxohbW9iaWxlYXBwOjoyLWNvbS5jcmljYnV6ei5hbmRyb2lkiBQXuhVEaW5zdGFtYXJ0Oi8vc3RvcmVzL2luc3RhbWFydC9zZWFyY2g_Y3VzdG9tX2JhY2s9dHJ1ZSZxdWVyeT1Hcm9jZXJpZXPQFQHYFQGYFgHKFmIKG2luLnN3aWdneS5hbmRyb2lkLmluc3RhbWFydBoxCIHOzKv27MWdqwEQyO2ryqCH3MBjGAAgACoUY29tLmNyaWNidXp6LmFuZHJvaWQwAyCs_AMoATIKNjczODYxOTczM_gWAYAXAbIXBBgBUAW6FwQIAUgBqhgXCQAAAAB0FTFBEgo1NTQ2ODcxNTk0GAOyGAMiAQCAGQKaGQ0IARADGgNVU0Qg5KdE,URL_Query
REQ-0001,googleads.g.doubleclick.net,/pagead/interaction/,sigh,l5pynaQe6y4,URL_Query
REQ-0001,googleads.g.doubleclick.net,/pagead/interaction/,cid,CAQS3gIAQM4h3CgJ06s9d6oQ74PZmRUXoTEBSk2AKOgf2-CdzbdY8qaCGagDNOxvEluoE8YKPoSv-qVecRRSwk7q5gfga-YvHVsLdI17EwZyPUd4rXMD4gOzmxMhdLc6JffZ-95zoQuvJCeHQX1_ZLFCelmR0AjDZJ055rLDIjigAyFTe7WJ8ysPxBBJ315rHzFTWLX2AjFvVQ_v0-zBIbaeQfd_h366Smr1IwvKm-PTytvpQMCY_CIZ25_cKBeRTThz1hpgzm5kYjAaM5227OqIxwXalW-4OZsc38FCHYslzwu2RGX5O9zpXiS4z-3a9z5TocCepeyf0McUtS5Srf3fSXWkWw9Zkgckjt6-2KaPxhGfSwIeYynjWYg18m7wWW-jsPKZ_KimWHbGx62VHQojg098xf_zMV7bPJHds1NtFETL6AZNxk79kuaolNqGtjldpduKjKbDKpriSsxfS1OHShgB,URL_Query
REQ-0001,googleads.g.doubleclick.net,/pagead/interaction/,cmd,Ch5jYS1tYi1hcHAtcHViLTQ1MTczMjU2NjUxMDM1NDEQsQMYAQ,URL_Query
REQ-0001,googleads.g.doubleclick.net,/pagead/interaction/,label,videoplaytime75,URL_Query
REQ-0002,csi.gstatic.com,/csi,v,2,URL_Query
REQ-0002,csi.gstatic.com,/csi,s,ima,URL_Query
REQ-0002,csi.gstatic.com,/csi,dmc,4,URL_Query
REQ-0002,csi.gstatic.com,/csi,top,1,URL_Query
REQ-0002,csi.gstatic.com,/csi,puid,4~mt74vit8,URL_Query
