Request ID,Host,Endpoint,Parameter,Value,Source
REQ-0001,mshopandroidphone.triggers-v1.prod.mobile.weblab.a2z.com\r,/,sid,260-0488909-4964056,URL_Query
REQ-0001,mshopandroidphone.triggers-v1.prod.mobile.weblab.a2z.com\r,/,aid,695269906,URL_Query
REQ-0001,mshopandroidphone.triggers-v1.prod.mobile.weblab.a2z.com\r,/,mid,A21TJRUUN4KGV,URL_Query
REQ-0001,mshopandroidphone.triggers-v1.prod.mobile.weblab.a2z.com\r,/,t,1787570239535,URL_Query
REQ-0001,mshopandroidphone.triggers-v1.prod.mobile.weblab.a2z.com\r,/,seqn,20/1/8579447318575133178,URL_Query
REQ-0001,mshopandroidphone.triggers-v1.prod.mobile.weblab.a2z.com\r,/,tr,313821_DPJM/0/0/0,URL_Query
REQ-0002,mshopandroidphone.triggers-v1.prod.mobile.weblab.a2z.com\r,/,sid,260-0488909-4964056,URL_Query
REQ-0002,mshopandroidphone.triggers-v1.prod.mobile.weblab.a2z.com\r,/,aid,695269906,URL_Query
REQ-0002,mshopandroidphone.triggers-v1.prod.mobile.weblab.a2z.com\r,/,mid,A21TJRUUN4KGV,URL_Query
REQ-0002,mshopandroidphone.triggers-v1.prod.mobile.weblab.a2z.com\r,/,t,1787570256543,URL_Query
REQ-0002,mshopandroidphone.triggers-v1.prod.mobile.weblab.a2z.com\r,/,seqn,21/1/8579447318575133178,URL_Query
REQ-0002,mshopandroidphone.triggers-v1.prod.mobile.weblab.a2z.com\r,/,tr,313821_DPJM/0/0/0,URL_Query
REQ-0003,mshopandroidphone.triggers-v1.prod.mobile.weblab.a2z.com\r,/,sid,260-0488909-4964056,URL_Query
REQ-0003,mshopandroidphone.triggers-v1.prod.mobile.weblab.a2z.com\r,/,aid,695265561,URL_Query
REQ-0003,mshopandroidphone.triggers-v1.prod.mobile.weblab.a2z.com\r,/,mid,A21TJRUUN4KGV,URL_Query
REQ-0003,mshopandroidphone.triggers-v1.prod.mobile.weblab.a2z.com\r,/,t,1787570264548,URL_Query
REQ-0003,mshopandroidphone.triggers-v1.prod.mobile.weblab.a2z.com\r,/,seqn,22/2/8579447318575133178,URL_Query
REQ-0003,mshopandroidphone.triggers-v1.prod.mobile.weblab.a2z.com\r,/,tr,1372612_RPTD/2/0/0,URL_Query
REQ-0003,mshopandroidphone.triggers-v1.prod.mobile.weblab.a2z.com\r,/,tr,1422268_WXMB/0/0/0,URL_Query
REQ-0004,unagi-eu.amazon.com\r,/1/events/com.amazon.eel.mls.nexus.msh.prod.nexus,N/A,N/A,Endpoint_Hit
REQ-0005,www.amazon.in\r,/s/browse,node,1350384031,URL_Query
REQ-0005,www.amazon.in\r,/s/browse,dataVersion,v0.2,URL_Query
REQ-0005,www.amazon.in\r,/s/browse,format,json,URL_Query
REQ-0005,www.amazon.in\r,/s/browse,cid,08e6b9c8bdfc91895ce634a035f3d00febd36433,URL_Query
REQ-0006,mshopandroidphone.triggers-v1.prod.mobile.weblab.a2z.com\r,/,sid,260-0488909-4964056,URL_Query
REQ-0006,mshopandroidphone.triggers-v1.prod.mobile.weblab.a2z.com\r,/,aid,695265561,URL_Query
REQ-0006,mshopandroidphone.triggers-v1.prod.mobile.weblab.a2z.com\r,/,mid,A21TJRUUN4KGV,URL_Query
REQ-0006,mshopandroidphone.triggers-v1.prod.mobile.weblab.a2z.com\r,/,t,1787570276555,URL_Query
REQ-0006,mshopandroidphone.triggers-v1.prod.mobile.weblab.a2z.com\r,/,seqn,23/3/8579447318575133178,URL_Query
REQ-0006,mshopandroidphone.triggers-v1.prod.mobile.weblab.a2z.com\r,/,tr,1372612_RPTD/2/0/0,URL_Query
REQ-0006,mshopandroidphone.triggers-v1.prod.mobile.weblab.a2z.com\r,/,tr,1422268_WXMB/0/0/0,URL_Query
REQ-0006,mshopandroidphone.triggers-v1.prod.mobile.weblab.a2z.com\r,/,tr,1372578_CDPC/1/6005/0,URL_Query
REQ-0007,mshopandroidphone.triggers-v1.prod.mobile.weblab.a2z.com\r,/,sid,260-0488909-4964056,URL_Query
REQ-0007,mshopandroidphone.triggers-v1.prod.mobile.weblab.a2z.com\r,/,aid,695269906,URL_Query
REQ-0007,mshopandroidphone.triggers-v1.prod.mobile.weblab.a2z.com\r,/,mid,A21TJRUUN4KGV,URL_Query
REQ-0007,mshopandroidphone.triggers-v1.prod.mobile.weblab.a2z.com\r,/,t,1787570287567,URL_Query
REQ-0007,mshopandroidphone.triggers-v1.prod.mobile.weblab.a2z.com\r,/,seqn,24/1/8579447318575133178,URL_Query
REQ-0007,mshopandroidphone.triggers-v1.prod.mobile.weblab.a2z.com\r,/,tr,313821_DPJM/0/0/0,URL_Query
