Request ID,Host,Endpoint,Parameter,Value,Source
REQ-0001,www.amazon.in,/portal-migration/hz/glow/get-location-label,pageType,SEARCH,URL_Query
REQ-0001,www.amazon.in,/portal-migration/hz/glow/get-location-label,storeContext,gateway,URL_Query
REQ-0001,www.amazon.in,/portal-migration/hz/glow/get-location-label,deviceType,mobile,URL_Query
REQ-0001,www.amazon.in,/portal-migration/hz/glow/get-location-label,osType,android,URL_Query
REQ-0001,www.amazon.in,/portal-migration/hz/glow/get-location-label,aisTransitionState,NONE,URL_Query
REQ-0001,www.amazon.in,/portal-migration/hz/glow/get-location-label,deviceCountryCode,IN,URL_Query
REQ-0002,www.amazon.in,/portal-migration/hz/glow/get-location-label,pageType,GATEWAY,URL_Query
REQ-0002,www.amazon.in,/portal-migration/hz/glow/get-location-label,storeContext,,URL_Query
REQ-0002,www.amazon.in,/portal-migration/hz/glow/get-location-label,deviceType,mobile,URL_Query
REQ-0002,www.amazon.in,/portal-migration/hz/glow/get-location-label,osType,android,URL_Query
REQ-0002,www.amazon.in,/portal-migration/hz/glow/get-location-label,aisTransitionState,NONE,URL_Query
REQ-0002,www.amazon.in,/portal-migration/hz/glow/get-location-label,deviceCountryCode,IN,URL_Query
REQ-0003,mshopandroidphone.triggers-v1.prod.mobile.weblab.a2z.com,/,did,,URL_Query
REQ-0003,mshopandroidphone.triggers-v1.prod.mobile.weblab.a2z.com,/,sid,260-0488909-4964056,URL_Query
REQ-0003,mshopandroidphone.triggers-v1.prod.mobile.weblab.a2z.com,/,aid,695269906,URL_Query
REQ-0003,mshopandroidphone.triggers-v1.prod.mobile.weblab.a2z.com,/,mid,A21TJRUUN4KGV,URL_Query
REQ-0003,mshopandroidphone.triggers-v1.prod.mobile.weblab.a2z.com,/,t,1787570256543,URL_Query
REQ-0003,mshopandroidphone.triggers-v1.prod.mobile.weblab.a2z.com,/,seqn,21/1/8579447318575133178,URL_Query
REQ-0003,mshopandroidphone.triggers-v1.prod.mobile.weblab.a2z.com,/,tr,313821_DPJM/0/0/0,URL_Query
REQ-0004,unagi-eu.amazon.com,/1/events/com.amazon.eel.mls.nexus.msh.prod.nexus,None,None,Endpoint_Hit
REQ-0004,unagi-eu.amazon.com,/1/events/com.amazon.eel.mls.nexus.msh.prod.nexus,Payload,<Binary/Gzip Payload>,POST_Body
REQ-0005,www.amazon.in,/portal-migration/hz/glow/get-location-label,pageType,OTHER,URL_Query
REQ-0005,www.amazon.in,/portal-migration/hz/glow/get-location-label,storeContext,,URL_Query
REQ-0005,www.amazon.in,/portal-migration/hz/glow/get-location-label,deviceType,mobile,URL_Query
REQ-0005,www.amazon.in,/portal-migration/hz/glow/get-location-label,osType,android,URL_Query
REQ-0005,www.amazon.in,/portal-migration/hz/glow/get-location-label,aisTransitionState,NONE,URL_Query
REQ-0005,www.amazon.in,/portal-migration/hz/glow/get-location-label,deviceCountryCode,IN,URL_Query
REQ-0006,www.amazon.in,/s/browse,node,1350384031,URL_Query
REQ-0006,www.amazon.in,/s/browse,dataVersion,v0.2,URL_Query
REQ-0006,www.amazon.in,/s/browse,format,json,URL_Query
REQ-0006,www.amazon.in,/s/browse,cid,08e6b9c8bdfc91895ce634a035f3d00febd36433,URL_Query
REQ-0007,www.amazon.in,/portal-migration/hz/glow/get-location-label,pageType,BROWSE,URL_Query
REQ-0007,www.amazon.in,/portal-migration/hz/glow/get-location-label,storeContext,,URL_Query
REQ-0007,www.amazon.in,/portal-migration/hz/glow/get-location-label,deviceType,mobile,URL_Query
REQ-0007,www.amazon.in,/portal-migration/hz/glow/get-location-label,osType,android,URL_Query
