Request ID,Host,Endpoint,Parameter,Value,Source
REQ-0001,intake-analytics.wikimedia.org,/v1/events,g,__0856d2d8ec9b4efda8dbf443a0129fc4,JSON_Payload
REQ-0001,intake-analytics.wikimedia.org,/v1/events,type,meta,JSON_Payload
REQ-0001,intake-analytics.wikimedia.org,/v1/events,af_Build,1521160600,JSON_Payload
REQ-0001,intake-analytics.wikimedia.org,/v1/events,af_Version,16.06.00,JSON_Payload
REQ-0001,intake-analytics.wikimedia.org,/v1/events,af_OS Version,16,JSON_Payload
REQ-0001,intake-analytics.wikimedia.org,/v1/events,af_SDK Version,70701,JSON_Payload
REQ-0001,intake-analytics.wikimedia.org,/v1/events,af_Make,Google,JSON_Payload
REQ-0001,intake-analytics.wikimedia.org,/v1/events,af_Model,Pixel 6a,JSON_Payload
REQ-0001,intake-analytics.wikimedia.org,/v1/events,af_Carrier,,JSON_Payload
REQ-0001,intake-analytics.wikimedia.org,/v1/events,af_useIP,True,JSON_Payload
REQ-0001,intake-analytics.wikimedia.org,/v1/events,af_OS,Android,JSON_Payload
REQ-0001,intake-analytics.wikimedia.org,/v1/events,af_wdt,2.2,JSON_Payload
REQ-0001,intake-analytics.wikimedia.org,/v1/events,af_hgt,5.12,JSON_Payload
REQ-0001,intake-analytics.wikimedia.org,/v1/events,af_dpi,420,JSON_Payload
REQ-0001,intake-analytics.wikimedia.org,/v1/events,af_dt,1,JSON_Payload
REQ-0001,intake-analytics.wikimedia.org,/v1/events,af_locale,en_US,JSON_Payload
REQ-0001,intake-analytics.wikimedia.org,/v1/events,af_abckt,working_set,JSON_Payload
REQ-0001,intake-analytics.wikimedia.org,/v1/events,af_wifi,True,JSON_Payload
REQ-0001,intake-analytics.wikimedia.org,/v1/events,af_BluetoothVersion,ble,JSON_Payload
REQ-0001,intake-analytics.wikimedia.org,/v1/events,af_Radio,Unknown,JSON_Payload
REQ-0001,intake-analytics.wikimedia.org,/v1/events,af_LIAMC,0,JSON_Payload
REQ-0001,intake-analytics.wikimedia.org,/v1/events,id,R5K-RKZ-896Z,JSON_Payload
