Request ID,Host,Endpoint,Parameter,Value,Source
REQ-0001,intake-analytics.wikimedia.org,/v1/events,g,__bf4dc38556ea496592a155f6352b28bd,JSON_Payload
REQ-0001,intake-analytics.wikimedia.org,/v1/events,type,meta,JSON_Payload
REQ-0001,intake-analytics.wikimedia.org,/v1/events,af_Build,280180130,JSON_Payload
REQ-0001,intake-analytics.wikimedia.org,/v1/events,af_Version,18.13.0,JSON_Payload
REQ-0001,intake-analytics.wikimedia.org,/v1/events,af_OS Version,16,JSON_Payload
REQ-0001,intake-analytics.wikimedia.org,/v1/events,af_SDK Version,70600,JSON_Payload
REQ-0001,intake-analytics.wikimedia.org,/v1/events,af_Make,Google,JSON_Payload
REQ-0001,intake-analytics.wikimedia.org,/v1/events,af_Model,Pixel 6a,JSON_Payload
REQ-0001,intake-analytics.wikimedia.org,/v1/events,af_Carrier,,JSON_Payload
REQ-0001,intake-analytics.wikimedia.org,/v1/events,af_useIP,True,JSON_Payload
REQ-0001,intake-analytics.wikimedia.org,/v1/events,af_OS,Android,JSON_Payload
REQ-0001,intake-analytics.wikimedia.org,/v1/events,af_wdt,2.2,JSON_Payload
REQ-0001,intake-analytics.wikimedia.org,/v1/events,af_hgt,5.12,JSON_Payload
REQ-0001,intake-analytics.wikimedia.org,/v1/events,af_dpi,420,JSON_Payload
REQ-0001,intake-analytics.wikimedia.org,/v1/events,af_dt,1,JSON_Payload
REQ-0001,intake-analytics.wikimedia.org,/v1/events,af_locale,en_US,JSON_Payload
REQ-0001,intake-analytics.wikimedia.org,/v1/events,af_abckt,active,JSON_Payload
REQ-0001,intake-analytics.wikimedia.org,/v1/events,af_wifi,True,JSON_Payload
REQ-0001,intake-analytics.wikimedia.org,/v1/events,af_BluetoothVersion,ble,JSON_Payload
REQ-0001,intake-analytics.wikimedia.org,/v1/events,af_Radio,Unknown,JSON_Payload
REQ-0001,intake-analytics.wikimedia.org,/v1/events,af_LIAMC,0,JSON_Payload
REQ-0001,intake-analytics.wikimedia.org,/v1/events,id,RKR-99Z-ZK5Z,JSON_Payload
REQ-0001,intake-analytics.wikimedia.org,/v1/events,tk,1cc-232,JSON_Payload
REQ-0001,intake-analytics.wikimedia.org,/v1/events,l_ts,1787564635,JSON_Payload
REQ-0001,intake-analytics.wikimedia.org,/v1/events,f_ts,1785272564,JSON_Payload
REQ-0001,intake-analytics.wikimedia.org,/v1/events,ct_pi,Identity,JSON_Payload
REQ-0001,intake-analytics.wikimedia.org,/v1/events,ddnd,True,JSON_Payload
REQ-0001,intake-analytics.wikimedia.org,/v1/events,rtl,[],JSON_Payload
REQ-0001,intake-analytics.wikimedia.org,/v1/events,rct,0,JSON_Payload
REQ-0001,intake-analytics.wikimedia.org,/v1/events,ait,0,JSON_Payload
REQ-0001,intake-analytics.wikimedia.org,/v1/events,frs,False,JSON_Payload
