Request ID,Host,Endpoint,Parameter,Value,Source
REQ-0001,intake-analytics.wikimedia.org,/v1/events,$schema,/analytics/mobile_apps/android_breadcrumbs_event/1.1.0,JSON_Payload
REQ-0001,intake-analytics.wikimedia.org,/v1/events,meta_stream,android.breadcrumbs_event,JSON_Payload
REQ-0001,intake-analytics.wikimedia.org,/v1/events,dt,2026-08-23T19:15:45.864Z,JSON_Payload
REQ-0001,intake-analytics.wikimedia.org,/v1/events,is_anon,True,JSON_Payload
REQ-0001,intake-analytics.wikimedia.org,/v1/events,app_session_id,7fed40330db585ba30ad,JSON_Payload
REQ-0001,intake-analytics.wikimedia.org,/v1/events,app_install_id,fc17bc52-b6d6-4e4f-b7f5-233a115fbd80,JSON_Payload
REQ-0001,intake-analytics.wikimedia.org,/v1/events,is_temp,False,JSON_Payload
REQ-0001,intake-analytics.wikimedia.org,/v1/events,screen_name,MainActivity.HOME,JSON_Payload
REQ-0001,intake-analytics.wikimedia.org,/v1/events,action,nav_tab_search.click,JSON_Payload
REQ-0001,intake-analytics.wikimedia.org,/v1/events,app_primary_language_code,en,JSON_Payload
REQ-0002,intake-analytics.wikimedia.org,/v1/events,$schema,/analytics/mobile_apps/android_breadcrumbs_event/1.1.0,JSON_Payload
REQ-0002,intake-analytics.wikimedia.org,/v1/events,meta_stream,android.breadcrumbs_event,JSON_Payload
REQ-0002,intake-analytics.wikimedia.org,/v1/events,dt,2026-08-23T19:15:46.754Z,JSON_Payload
REQ-0002,intake-analytics.wikimedia.org,/v1/events,is_anon,True,JSON_Payload
REQ-0002,intake-analytics.wikimedia.org,/v1/events,app_session_id,7fed40330db585ba30ad,JSON_Payload
REQ-0002,intake-analytics.wikimedia.org,/v1/events,app_install_id,fc17bc52-b6d6-4e4f-b7f5-233a115fbd80,JSON_Payload
REQ-0002,intake-analytics.wikimedia.org,/v1/events,is_temp,False,JSON_Payload
REQ-0002,intake-analytics.wikimedia.org,/v1/events,screen_name,MainActivity.SEARCH,JSON_Payload
REQ-0002,intake-analytics.wikimedia.org,/v1/events,action,search_card.click,JSON_Payload
